,ObjectLabel,Bbox_CenterRR,Bbox_CenterCC,Bbox_MinRR,Bbox_MinCC,Bbox_MaxRR,Bbox_MaxCC,Grid_RowNum,Grid_ColNum,Grid_SectionNum,Size_Area,Size_IntegratedIntensity
63,64,989.26383624,1034.05155421,961,1007,1019,1062,5,5,65,2638.0,1146.4759502
64,65,987.720626632,1363.97476066,961,1339,1015,1390,5,7,67,2298.0,995.22834
65,66,988.870751154,1197.28031893,962,1171,1017,1224,5,6,66,2383.0,1065.82440667
66,67,989.674428274,870.873596674,963,843,1019,899,5,4,64,2405.0,998.718733725
67,68,991.588369963,195.274267399,966,171,1019,221,5,0,60,2184.0,957.851807059
68,69,1000.33928571,700.303571429,997,696,1005,706,5,3,63,56.0,20.1979717647
69,70,1166.63574097,1031.52334994,1135,1001,1201,1063,6,5,77,3212.0,1456.90197961
70,71,1169.36202144,1847.95130168,1137,1818,1203,1880,6,10,82,3265.0,1459.87187176
71,72,1168.16644295,1521.15771812,1138,1492,1199,1552,6,8,80,2980.0,1374.13053843
72,73,1170.01385681,2010.74991752,1139,1982,1202,2041,6,11,83,3031.0,1315.33547098
73,74,1167.79957082,1357.66523605,1140,1332,1196,1384,6,7,79,2330.0,1009.48031098
74,75,1166.09402501,706.139416396,1141,681,1193,731,6,3,75,2159.0,938.71862902
75,76,1168.44239442,1194.3702337,1141,1167,1197,1222,6,6,78,2439.0,1060.84577804
76,77,1165.27016645,204.863636364,1142,182,1190,227,6,0,72,1562.0,582.532212157
77,78,1165.35884934,383.310092638,1142,351,1192,413,6,1,73,2051.0,863.082897255
78,79,1182.35,1683.96590909,1154,1656,1213,1713,6,9,81,2640.0,1139.35765922
79,80,1178.01851852,551.018518519,1174,545,1183,558,6,2,74,54.0,17.950985098
80,81,1327.76353276,197.596296296,1295,165,1363,230,7,0,84,3510.0,1571.60130745
81,82,1332.08519481,1030.80155844,1297,997,1368,1065,7,5,89,3850.0,1752.47310627
82,83,1324.23542805,867.343351548,1298,840,1353,893,7,4,88,2196.0,950.443961176
83,84,1333.09174546,2009.91208791,1298,1976,1370,2045,7,11,95,3913.0,1800.21556
84,85,1331.51464129,1355.48535871,1300,1327,1361,1385,7,7,91,2732.0,1207.79999882
85,86,1334.87513369,1848.82780749,1300,1816,1371,1883,7,10,94,3740.0,1689.61688784
86,87,1333.1958021,1519.15502249,1301,1488,1366,1551,7,8,92,3335.0,1543.26412588
87,88,1335.51789838,545.508949192,1302,513,1370,578,7,2,86,3464.0,1571.67032627
88,89,1334.67813127,1196.74347951,1302,1165,1368,1230,7,6,90,3489.0,1600.65430941
89,90,1334.43876131,382.285316632,1304,354,1367,413,7,1,85,2874.0,1228.00616196
90,91,1333.31279795,1686.21745508,1304,1657,1366,1715,7,9,93,2727.0,1178.92260824
91,92,1335.03091033,707.864809783,1305,679,1367,737,7,3,87,2944.0,1300.3462698
0,1,151.67904012,670.001124859,123,641,184,699,0,3,3,2667.0,1109.13484
1,2,159.077044439,997.494609519,125,964,195,1032,0,5,5,3803.0,1700.37522392
2,3,159.396791768,344.78874092,126,314,195,377,0,1,1,3304.0,1447.05674078
3,4,158.770866903,518.296165002,127,488,191,549,0,2,2,3103.0,1357.53380824
4,5,163.006818182,835.506168831,130,806,196,867,0,4,4,3080.0,1319.98363608
5,6,159.762331839,1650.81818182,131,1625,190,1679,0,9,9,2453.0,1037.44408392
6,7,155.161547912,1957.72604423,131,1936,180,1979,0,11,11,1628.0,647.201241569
7,8,172.374397972,163.133840304,136,130,210,198,0,0,0,3945.0,1762.53082196
8,9,161.840175953,1488.96480938,136,1466,189,1513,0,8,8,2046.0,840.57618
9,10,166.079922027,1814.00818713,136,1788,199,1842,0,10,10,2565.0,1101.26203451
10,11,162.350943396,1162.07861635,141,1141,185,1185,0,6,6,1590.0,639.348961569
11,12,172.202676112,1326.49075167,144,1298,203,1354,0,7,7,2541.0,1098.32452118
12,13,304.15027027,1325.04648649,274,1298,335,1353,1,7,19,2775.0,1273.90310588
13,14,305.783111423,1162.09880869,275,1134,337,1191,1,6,18,2854.0,1311.27383569
14,15,304.975592501,1489.02228511,275,1461,336,1517,1,8,20,2827.0,1273.41015569
15,16,308.699165948,1978.73454127,275,1947,344,2011,1,11,23,3477.0,1605.52471216
