Colony,Policy,PointID,Ring,Status,ParentID,DistancePx,AxialDeltaDeg,PredictionResidualDeg,SignedStepDeg,UnwrappedFiberAxisDeg,CumulativeSignedDeg,CumulativeAbsoluteDeg,NormalizedCost
R3C4,reciprocal_one_to_one,183,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,184,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,185,4,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,186,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,187,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,188,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,189,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,190,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,191,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,192,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,193,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,194,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,195,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,196,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,197,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,198,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,199,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,200,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,201,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,202,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,203,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,204,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,205,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,206,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,207,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,208,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,209,5,no_candidate,,,,,,,,,
R3C4,reciprocal_one_to_one,210,5,no_candidate,,,,,,,,,
